stim_num	turker_label	true_label	is_correct	eventType	experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num
te crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
8	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
9	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
10	false	true	false	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
11	true	true	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
12	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
13	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
14	false	true	false	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
15	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
16	false	true	false	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
17	false	true	false	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
18	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
19	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
20	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
21	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
22	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
23	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
24	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
25	false	true	false	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
26	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
27	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
28	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
29	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
30	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
31	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
32	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
33	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
34	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
35	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
36	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
37	false	true	false	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
38	true	false	false	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
39	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
40	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
41	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
42	true	false	false	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
43	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
44	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
45	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
46	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
47	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
48	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
49	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681605865	student	30	"birds with (purple wings and white crests) or white tails"	birds_purple_wings_white_crests_or_white_tails	0
0	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
1	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
2	true	false	false	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
3	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
4	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
5	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
6	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
7	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
8	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
9	false	true	false	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
10	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
11	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
12	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
13	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
14	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
15	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
16	false	true	false	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
17	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
18	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
19	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
20	false	true	false	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
21	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
22	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
23	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
24	false	true	false	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
25	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
26	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
27	false	false	true	logTest	mp-game-6	pilot	1123-e67f4a00-fbfa-4ab4-a29e-e90e3370b877	1561681685055	student	10	"fish with orange bodies and purple stripes"	fish_orange_bodies_purple_stripes	1
